Date,Removed_Ticker,Removed_Security
"December 15, 2015",CMCSK,Comcast K Corp
"December 1, 2015",CSC,Computer Sciences Corporation
"November 19, 2015",SIAL,Sigma-Aldrich
"November 18, 2015",GNW,Genworth Financial
"November 2, 2015",HCBK,Hudson City Bancorp
"October 7, 2015",JOY,Joy Global
"September 2, 2015",HSP,Hospira
"August 28, 2015",PLL,Pall Corporation
"July 29, 2015",DTV,DirecTV
"July 20, 2015",NE,Noble Corporation
"July 8, 2015",FDO,Family Dollar
"July 6, 2015",KRFT,Kraft Foods
"July 2, 2015",ATI,Allegheny Technologies
"July 1, 2015",TEG,Integrys Energy Group
"July 1, 2015",QEP,QEP Resources
"June 11, 2015",LO,Lorillard Tobacco Company
"April 7, 2015",WIN,Windstream Communications
"March 23, 2015",AGN,Allergan
"March 23, 2015",DNR,Denbury Resources
"March 23, 2015",NBR,Nabors Industries
"March 23, 2015",AVP,Avon Products
"March 18, 2015",CFN,Carefusion
"March 12, 2015",PETM,PetSmart
"January 27, 2015",SWY,Safeway
"January 27, 2015",COV,Covidien
"December 5, 2014",BMS,Bemis Company
"November 5, 2014",JBL,Jabil Circuit
"September 20, 2014",BTU,Peabody Energy
"September 20, 2014",GHC,Graham Holdings
"August 18, 2014",RDC,Rowan Companies
"July 2, 2014",X,United States Steel
"July 1, 2014",FRX,Forest Laboratories
"June 20, 2014",IGT,International Game Technology
"May 8, 2014",LSI,LSI Corporation
"May 1, 2014",BEAM,Suntory Global Spirits
"May 1, 2014",SLM,SLM Corporation
"April 2, 2014",CLF,Cliffs Natural Resources
"March 21, 2014",WPX,WPX Energy
"January 24, 2014",LIFE,Life Technologies
"December 23, 2013",ANF,Abercrombie & Fitch
"December 23, 2013",JDSU,JDS Uniphase
"December 23, 2013",TER,Teradyne
"December 10, 2013",MOLX,Molex
"December 2, 2013",JCP,JCPenney
"November 13, 2013",NYX,NYSE Euronext
"October 29, 2013",DELL,Dell
"September 20, 2013",AMD,Advanced Micro Devices
"September 20, 2013",SAI,SAIC
"September 10, 2013",BMC,BMC Software
"July 8, 2013",S,Sprint Nextel
"July 1, 2013",APOL,Apollo Education Group
"June 21, 2013",FHN,First Horizon
"June 6, 2013",HNZ,Heinz
"May 23, 2013",DF,Dean Foods
"May 8, 2013",CVH,Coventry Health Care
"April 30, 2013",PCS,MetroPCS
"February 15, 2013",BIG,Big Lots
"January 2, 2013",FII,Federated Investors
"December 21, 2012",TIE,Titanium Metals
"December 11, 2012",RRD,RR Donnelley
"December 3, 2012",CBE,Cooper Industries
"October 10, 2012",SUN,Sunoco
"October 2, 2012",ANR,Alpha Natural Resources
"October 1, 2012",LXK,Lexmark
"October 1, 2012",DV,DeVry
"September 5, 2012",SHLD,Sears Holdings
"July 31, 2012",GR,Goodrich Corporation
"July 2, 2012",PGN,Progress Energy
"June 29, 2012",SLE,Sara Lee Corporation
"June 5, 2012",NVLS,Novellus Systems
"May 21, 2012",MMI,Motorola Mobility
"May 17, 2012",EP,El Paso Corporation
"April 23, 2012",SVU,Supervalu
"April 3, 2012",MHS,Medco Health Solutions
"March 13, 2012",CEG,Constellation Energy Group
"December 31, 2011",CPWR,Compuware
"December 20, 2011",TLAB,Tellabs
"December 16, 2011",AKS,AK Steel
"December 16, 2011",MWW,Monster Worldwide
"December 16, 2011",WFR,MEMC Electronic Materials
"December 12, 2011",GAS,Nicor Gas
"November 18, 2011",JNS,Janus Capital Group
"October 31, 2011",ITT,ITT
"October 14, 2011",CEPH,Cephalon
"September 23, 2011",NSM,National Semiconductor
"July 5, 2011",MI,Marshall & Ilsley
"June 30, 2011",RSH,RadioShack
"June 1, 2011",MEE,Massey Energy
"April 27, 2011",NOVL,Novell
"April 1, 2011",GENZ,Genzyme
"March 31, 2011",Q,Qwest Communications
"February 28, 2011",MFE,McAfee
"February 25, 2011",AYE,Allegheny Energy
"December 17, 2010",KG,King Pharmaceuticals
"December 17, 2010",EK,Eastman Kodak
"December 17, 2010",ODP,Office Depot
"December 17, 2010",NYT,The New York Times Company
"November 17, 2010",PTV,Pactiv
"August 26, 2010",SII,Smith International
"July 14, 2010",MIL,Millipore
"June 30, 2010",STR,Questar
"June 28, 2010",XTO,XTO Energy
"April 29, 2010",BJS,BJ Services
"February 26, 2010",RX,IMS Health
"December 18, 2009",CIEN,Ciena
"December 18, 2009",DYN,Dynegy
"December 18, 2009",KBH,KB Home
"December 18, 2009",CVG,Convergys
"December 18, 2009",MBI,MBIA
"November 3, 2009",SGP,Schering-Plough
"September 28, 2009",CBE,Cooper Industries
"August 19, 2009",CTX,Centex Corp.
"June 25, 2009",TEL,TE Connectivity
"June 5, 2009",COV,Covidien
"March 3, 2009",ACAS,American Capital
