Symbol,Security,GICS Sector,GICS Sub-Industry,Startdatum,Enddatum
EQR,Equity Residential,Real Estate,Multi-Family Residential REITs,Aktuell,
ERIE,Erie Indemnity,Financials,Insurance Brokers,Aktuell,
ESS,Essex Property Trust,Real Estate,Multi-Family Residential REITs,Aktuell,
EL,Estée Lauder Companies (The),Consumer Staples,Personal Care Products,Aktuell,
EG,Everest Group,Financials,Reinsurance,Aktuell,
EVRG,Evergy,Utilities,Electric Utilities,Aktuell,
ES,Eversource Energy,Utilities,Electric Utilities,Aktuell,
EXC,Exelon,Utilities,Electric Utilities,Aktuell,
"EXPE,Expedia Group,Consumer Discretionary,""Hotels, Resorts & Cruise Lines"",Aktuell,"
EXPD,Expeditors International,Industrials,Air Freight & Logistics,Aktuell,
EXR,Extra Space Storage,Real Estate,Self-Storage REITs,Aktuell,
XOM,ExxonMobil,Energy,Integrated Oil & Gas,Aktuell,
"FFIV,""F5, Inc."",Information Technology,Communications Equipment,Aktuell,"
FDS,FactSet,Financials,Financial Exchanges & Data,Aktuell,
FICO,Fair Isaac,Information Technology,Application Software,Aktuell,
FAST,Fastenal,Industrials,Trading Companies & Distributors,Aktuell,
FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,Aktuell,
FDX,FedEx,Industrials,Air Freight & Logistics,Aktuell,
FIS,Fidelity National Information Services,Financials,Transaction & Payment Processing Services,Aktuell,
FITB,Fifth Third Bancorp,Financials,Regional Banks,Aktuell,
FSLR,First Solar,Information Technology,Semiconductors,Aktuell,
FE,FirstEnergy,Utilities,Electric Utilities,Aktuell,
FI,Fiserv,Financials,Transaction & Payment Processing Services,Aktuell,
FMC,FMC Corporation,Materials,Fertilizers & Agricultural Chemicals,Aktuell,
F,Ford Motor Company,Consumer Discretionary,Automobile Manufacturers,Aktuell,
FTNT,Fortinet,Information Technology,Systems Software,Aktuell,
FTV,Fortive,Industrials,Industrial Machinery & Supplies & Components,Aktuell,
FOXA,Fox Corporation (Class A),Communication Services,Broadcasting,Aktuell,
FOX,Fox Corporation (Class B),Communication Services,Broadcasting,Aktuell,
BEN,Franklin Resources,Financials,Asset Management & Custody Banks,Aktuell,
FCX,Freeport-McMoRan,Materials,Copper,Aktuell,
GRMN,Garmin,Consumer Discretionary,Consumer Electronics,Aktuell,
