Datum,Tatsächlich,Vorhergesagt
2021-12-29,4788.640065189247,4602.453765069658
2021-12-30,4794.229805220384,4613.242138826172
2021-12-31,4775.209933089063,4603.919697404344
2022-01-03,4778.140006978647,4592.271033037541
2022-01-04,4804.509597517026,4622.522317844996
2022-01-05,4787.990370282059,4623.121154606197
2022-01-06,4693.390279030427,4541.065475771466
2022-01-07,4697.660214357602,4549.182722395781
2022-01-10,4655.339790089056,4521.668465416733
2022-01-11,4669.140255449456,4491.397123875649
2022-01-12,4728.589846548857,4561.1118228774285
2022-01-13,4733.559976773249,4566.069417643303
2022-01-14,4637.9903573442425,4502.588423084526
2022-01-18,4632.240163444076,4499.838143485686
2022-01-19,4588.029750186979,4418.175719892461
2022-01-20,4547.350038360455,4415.801862205117
2022-01-21,4471.379787402257,4368.46832899726
2022-01-24,4356.319678913569,4271.671309101366
2022-01-25,4366.640300989384,4252.317993773468
2022-01-26,4408.430296284641,4237.922273211443
2022-01-27,4380.580089017312,4265.321203972126
2022-01-28,4336.189881469472,4228.726977154583
2022-01-31,4431.78994415488,4308.02234802366
2022-02-01,4519.569671504869,4379.628826793778
2022-02-02,4566.389967225405,4393.341185788595
2022-02-03,4535.410193200078,4449.382564794942
2022-02-04,4482.789919901261,4304.21013601037
2022-02-07,4505.749865722755,4388.207020135596
2022-02-08,4480.0199417247495,4339.551175132074
2022-02-09,4547.000119989825,4386.952757971885
2022-02-10,4553.240271240065,4453.304372531275
2022-02-11,4506.269908173272,4345.504085304274
2022-02-14,4412.609976310487,4302.8788703157625
2022-02-15,4429.279629047669,4272.021943783911
2022-02-16,4455.74986141015,4365.158609792561
2022-02-17,4456.06002446948,4321.607561653509
2022-02-18,4384.5699463856,4247.479664941493
2022-02-22,4332.74012328533,4235.163039713661
2022-02-23,4324.930174472684,4183.059585461742
2022-02-24,4155.769892268145,4137.026874692092
2022-02-25,4298.379715175688,4150.35099262881
2022-02-28,4354.170026855718,4287.277954956226
2022-03-01,4363.140042815212,4220.503716366802
2022-03-02,4322.559898344916,4194.467927180958
2022-03-03,4401.3101558464405,4288.779702886677
2022-03-04,4342.12022781634,4235.468188589584
2022-03-07,4327.009627962834,4191.306484542729
2022-03-08,4202.6600284004235,4102.526427603007
2022-03-09,4223.09998890385,4105.108373901749
