Date,Open,High,Low,Close,Volume,Close_Direction,RSI,MACD,Signal_Line,RSI_Overbought,RSI_Oversold,RSI_Overbought_Streak,RSI_Oversold_Streak,RSI_CrossOver_70,RSI_CrossUnder_30,RSI_Slope,MACD_BullishCrossover,MACD_BearishCrossover,MACD_Bullish_Streak,MACD_Bearish_Streak,MACD_ZeroLine_Crossover,MACD_Slope,BB_UpperBreak,BB_LowerBreak,BB_UpperBreak_Streak,BB_LowerBreak_Streak,BB_Squeeze
1996-02-01,636.02001953125,638.4600219726562,634.5399780273438,638.4600219726562,461430000,0.0,57.85546,4.85983,5.89545,0.0,0.0,0.0,0.0,0.0,0.0,1.18718,0.0,0.0,0.0,13.0,0.0,-0.03165,0.0,0.0,0.0,0.0,0.0
1996-02-02,638.4600219726562,639.260009765625,634.2899780273438,635.8400268554688,420020000,1.0,42.53097,3.17224,5.35081,0.0,0.0,0.0,0.0,0.0,0.0,-15.3245,0.0,0.0,0.0,14.0,0.0,-1.68759,0.0,1.0,0.0,1.0,0.0
1996-02-05,635.8400268554688,641.4299926757812,633.7100219726562,641.4299926757812,377760000,0.0,47.38712,2.33402,4.74745,0.0,0.0,0.0,0.0,0.0,0.0,4.85615,0.0,0.0,0.0,15.0,0.0,-0.83822,0.0,0.0,0.0,0.0,0.0
1996-02-06,641.4299926757812,646.6699829101562,639.6799926757812,646.3300170898438,465940000,1.0,45.5254,1.41697,4.08135,0.0,0.0,0.0,0.0,0.0,0.0,-1.86172,0.0,0.0,0.0,16.0,0.0,-0.91706,0.0,0.0,0.0,0.0,0.0
1996-02-07,646.3300170898438,649.9299926757812,645.5900268554688,649.9299926757812,462730000,1.0,46.65012,0.79879,3.42484,0.0,0.0,0.0,0.0,0.0,0.0,1.12473,0.0,0.0,0.0,17.0,0.0,-0.61817,0.0,0.0,0.0,0.0,0.0
1996-02-08,649.9299926757812,656.5399780273438,647.9299926757812,656.0700073242188,474970000,1.0,48.47082,0.49043,2.83796,0.0,0.0,0.0,0.0,0.0,0.0,1.8207,0.0,0.0,0.0,18.0,0.0,-0.30836,0.0,0.0,0.0,0.0,0.0
1996-02-09,656.0700073242188,661.0800170898438,653.6400146484375,656.3699951171875,477640000,1.0,48.92393,0.28793,2.32795,0.0,0.0,0.0,0.0,0.0,0.0,0.45311,0.0,0.0,0.0,19.0,0.0,-0.20251,0.0,0.0,0.0,0.0,0.0
1996-02-12,656.3699951171875,662.9500122070312,656.3400268554688,661.4500122070312,397890000,0.0,57.06931,1.02103,2.06657,0.0,0.0,0.0,0.0,0.0,0.0,8.14538,0.0,0.0,0.0,20.0,0.0,0.73311,0.0,0.0,0.0,0.0,0.0
1996-02-13,661.4500122070312,664.22998046875,657.9199829101562,660.510009765625,441540000,0.0,56.24283,1.50718,1.95469,0.0,0.0,0.0,0.0,0.0,0.0,-0.82648,0.0,0.0,0.0,21.0,0.0,0.48615,0.0,0.0,0.0,0.0,0.0
1996-02-14,660.510009765625,661.530029296875,654.3599853515625,655.5800170898438,421790000,0.0,54.72263,1.73448,1.91065,0.0,0.0,0.0,0.0,0.0,0.0,-1.52021,0.0,0.0,0.0,22.0,0.0,0.2273,0.0,0.0,0.0,0.0,0.0
