Date,Actual,Predicted,Percentage_Error
1980-02-21,115.27999877929688,128.53989361202932,11.502337762961346
1980-02-22,115.04000091552734,128.4119263842774,11.623718152235512
1980-02-25,113.33000183105467,127.5580328759951,12.554514087232334
1980-02-26,113.9800033569336,126.16128572913345,10.687210048637757
1980-02-27,112.37999725341795,126.25964633792029,12.35064017060224
1980-02-28,112.3499984741211,125.59829428924013,11.791985754384031
1980-02-29,113.66000366210938,124.98051924622342,9.959981716847285
1980-03-03,112.5,125.76769563949256,11.793507235104496
1980-03-04,112.77999877929688,125.45447881251278,11.238233880476479
1980-03-05,111.12999725341795,124.89918055033519,12.3901589464799
1980-03-06,108.6500015258789,124.31265525577601,14.415695821381536
1980-03-07,106.9000015258789,121.63765180012825,13.786389208499292
1980-03-10,106.51000213623048,119.6467467571942,12.333813123166872
1980-03-11,107.77999877929688,118.80232585257568,10.226690664424137
1980-03-12,106.87000274658205,119.9327572972324,12.22303192190021
1980-03-13,105.62000274658205,119.2632672143495,12.917311222290193
1980-03-14,105.43000030517578,118.41449807419627,12.315752377345916
1980-03-17,102.26000213623048,117.66458361748141,15.064131781191428
1980-03-18,104.0999984741211,115.29474413989544,10.753838453280405
1980-03-19,104.30999755859376,115.65129945374139,10.872689253757201
1980-03-20,103.12000274658205,116.77773286903403,13.244501317572619
1980-03-21,102.30999755859376,115.85827697959849,13.242380749003061
1980-03-24,99.27999877929688,114.79674717925707,15.629279402444899
1980-03-25,99.19000244140624,112.23940921092594,13.155969803739328
1980-03-26,98.68000030517578,111.41695285872763,12.90732926039907
1980-03-27,98.22000122070312,111.45922747603763,13.47915505069643
1980-03-28,100.68000030517578,109.49498826673859,8.755450868934537
1980-03-31,102.08999633789062,112.186153263909,9.889467419121848
1980-04-01,102.18000030517578,113.87680478719531,11.447254303273912
1980-04-02,102.68000030517578,114.37451968989086,11.389286472494872
1980-04-03,102.1500015258789,114.9504668650909,12.531047624085545
1980-04-07,100.19000244140624,114.53561831439004,14.318410543380807
1980-04-08,101.1999969482422,112.91016855455156,11.571316165452474
1980-04-09,103.11000061035156,113.02854297273791,9.61937959817119
1980-04-10,104.08000183105467,114.88822103102376,10.3845301785383
1980-04-11,103.79000091552734,116.29390316775209,12.047309126051005
1980-04-14,102.83999633789062,116.35303689941651,13.1398687696638
1980-04-15,102.62999725341795,115.23393320462469,12.280947372613301
1980-04-16,101.54000091552734,115.08016051461368,13.33480350305551
1980-04-17,101.0500030517578,114.54600902612273,13.355769981968512
1980-04-18,100.5500030517578,113.37474448847455,12.754590798088044
1980-04-21,99.8000030517578,113.07834418320681,13.304950626667477
1980-04-22,103.43000030517578,112.19943838231674,8.478621339327335
