Date,Next_Close,Close_x,RSI,RSI_DwellTime_Over70,RSI_DwellTime_Under30,RSI_Slope_5,RSI_DistanceTo50,RSI_Divergence,RSI_OverboughtCount_14,RSI_OversoldCount_14,RSI_Close_Corr_14,RSI_Volatility_14,RSI_ExtremeCount_14,Open,High,Low,Close_y,Volume_x,MACD,Signal_Line,MACD_Histogram,MACD_Crossover,MACD_Gap,MACD_Histogram_Change,MACD_Crossover_Strength,MACD_Slope_5,MACD_Price_Divergence,MACD_Extreme,MACD_Mean_Change_5,Close_bb,Moving_Avg,Upper_Band,Lower_Band,Bandwidth,Percent_B,Price_Deviation,Slope,Divergence,Close_sp500,Volume_y
1984-05-01,161.89999,161.67999,64.03211,0,0,11.53935,14.03211,0,0.00000,0.00000,0.99247,5.80657,0.00000,160.05000,161.69000,160.05000,161.67999,110550000,0.75862,0.31349,0.44513,0,0.44513,0.09181,0.00000,0.71181,0,1,0.14236,161.67999,157.78650,161.38217,154.19083,0.04558,1.04141,3.89349,0.18500,0.14915,161.67999,110550000
1984-05-02,161.20000,161.89999,64.67939,0,0,10.02464,14.67939,0,0.00000,0.00000,0.99430,5.07074,0.00000,161.67999,162.11000,161.41000,161.89999,107080000,0.92664,0.43612,0.49052,0,0.49052,0.04539,0.00000,0.79144,0,1,0.15829,161.89999,157.99850,162.01472,153.98228,0.05084,0.98572,3.90150,0.21200,0.11546,161.89999,107080000
1984-05-03,159.11000,161.20000,60.92260,0,0,0.71911,10.92260,0,0.00000,0.00000,0.99094,5.15362,0.00000,161.89999,161.89999,160.95000,161.20000,91910000,0.99188,0.54727,0.44461,0,0.44461,-0.04591,0.00000,0.65735,1,0,0.13147,161.20000,158.18150,162.42460,153.93839,0.05365,0.85569,3.01850,0.18300,0.05527,161.20000,91910000
1984-05-04,159.47000,159.11000,51.33521,0,0,-6.95941,1.33521,0,0.00000,0.00000,0.96195,5.08823,0.00000,161.20000,161.20000,158.92999,159.11000,98580000,0.86497,0.61081,0.25416,0,0.25416,-0.19045,0.00000,0.41078,0,0,0.08216,159.11000,158.38500,162.38961,154.38039,0.05057,0.59052,0.72500,0.20350,-0.05742,159.11000,98580000
1984-05-07,160.52000,159.47000,52.71554,0,0,-6.12751,2.71554,0,0.00000,0.00000,0.94436,5.15144,0.00000,159.11000,159.48000,158.63000,159.47000,72760000,0.78440,0.64553,0.13887,0,0.13887,-0.11529,0.00000,0.22887,1,0,0.04577,159.47000,158.58450,162.38257,154.78643,0.04790,0.61657,0.88550,0.19950,-0.05277,159.47000,72760000
1984-05-08,160.11000,160.52000,56.58361,0,0,-7.44850,6.58361,0,0.00000,0.00000,0.93752,5.15181,0.00000,159.47000,160.52000,159.14000,160.52000,81610000,0.79609,0.67564,0.12045,0,0.12045,-0.01842,0.00000,0.03747,0,0,0.00749,160.52000,158.83800,162.43696,155.23904,0.04532,0.73368,1.68200,0.25350,-0.05394,160.52000,81610000
1984-05-09,160.00000,160.11000,54.70187,0,0,-9.97753,4.70187,0,0.00000,0.00000,0.92027,5.02886,0.00000,160.52000,161.31000,159.39000,160.11000,100590000,0.76348,0.69321,0.07027,0,0.07027,-0.05018,0.00000,-0.16316,0,0,-0.03263,160.11000,159.05000,162.41668,155.68332,0.04233,0.65743,1.06000,0.21200,-0.06579,160.11000,100590000
1984-05-10,158.49001,160.00000,54.18126,0,0,-6.74134,4.18126,0,0.00000,0.00000,0.90611,4.94306,0.00000,160.11000,160.45000,159.61000,160.00000,101810000,0.72045,0.69866,0.02179,0,0.02179,-0.04848,0.00000,-0.27143,0,0,-0.05429,160.00000,159.30000,162.12569,156.47431,0.03548,0.62386,0.70000,0.25000,-0.16201,160.00000,101810000
1984-05-11,157.50000,158.49001,47.49855,0,0,-3.83667,2.50145,0,0.00000,0.00000,0.88099,4.92812,0.00000,160.00000,160.00000,157.42000,158.49001,82780000,0.55807,0.67054,-0.11247,-1,-0.11247,-0.13426,0.11247,-0.30690,0,0,-0.06138,158.49001,159.33800,162.09789,156.57812,0.03464,0.34637,-0.84799,0.03800,-0.02352,158.49001,82780000
1984-05-14,158.00000,157.50000,43.69344,0,0,-9.02210,6.30656,0,0.00000,0.00000,0.93265,5.93760,0.00000,158.49001,158.49001,157.20000,157.50000,64900000,0.34552,0.60553,-0.26002,0,-0.26002,-0.14755,0.00000,-0.43888,0,0,-0.08778,157.50000,159.34750,162.08057,156.61443,0.03430,0.16201,-1.84750,0.00950,-0.00977,157.50000,64900000
1984-05-15,157.99001,158.00000,46.04437,0,0,-10.53923,3.95563,0,0.00000,0.00000,0.96684,6.49428,0.00000,157.50000,158.27000,157.28999,158.00000,88250000,0.21493,0.52741,-0.31248,0,-0.31248,-0.05246,0.00000,-0.58116,1,0,-0.11623,158.00000,159.33150,162.09206,156.57094,0.03465,0.25883,-1.33150,-0.01600,0.01016,158.00000,88250000
1984-05-16,156.57001,157.99001,46.00303,0,0,-8.69884,3.99697,0,0.00000,0.00000,0.97716,6.76708,0.00000,158.00000,158.41000,157.83000,157.99001,89210000,0.10938,0.44381,-0.33443,0,-0.33443,-0.02195,0.00000,-0.65410,0,0,-0.13082,157.99001,159.28250,162.10116,156.46384,0.03539,0.27073,-1.29249,-0.04900,0.02136,157.99001,89210000
1984-05-17,155.78000,156.57001,40.44587,0,0,-13.73539,9.55413,0,0.00000,0.00000,0.98824,7.57946,0.00000,157.99001,157.99001,156.14999,156.57001,90310000,-0.08784,0.33748,-0.42532,0,-0.42532,-0.09089,0.00000,-0.80829,0,0,-0.16166,156.57001,159.21600,162.21874,156.21326,0.03772,0.05940,-2.64599,-0.06650,0.06575,156.57001,90310000
1984-05-18,154.73000,155.78000,37.71613,0,0,-9.78242,12.28387,0,0.00000,0.00000,0.99500,8.38237,0.00000,156.57001,156.77000,155.24001,155.78000,81270000,-0.30438,0.20911,-0.51349,0,-0.51349,-0.08817,0.00000,-0.86245,0,0,-0.17249,155.78000,159.10400,162.42686,155.78114,0.04177,-0.00017,-3.32400,-0.11200,0.10739,155.78000,81270000
1984-05-21,153.88000,154.73000,34.39360,0,0,-9.29984,15.60640,0,0.00000,0.00000,0.99471,8.70177,0.00000,155.78000,156.11000,154.63000,154.73000,73380000,-0.55433,0.05642,-0.61075,0,-0.61075,-0.09726,0.00000,-0.89984,0,-1,-0.17997,154.73000,159.00050,162.71039,155.29062,0.04667,-0.07556,-4.27050,-0.10350,0.11720,154.73000,73380000
1984-05-22,153.14999,153.88000,31.94062,0,0,-14.10375,18.05938,0,0.00000,0.00000,0.99538,8.66459,0.00000,154.73000,154.73000,152.99001,153.88000,88030000,-0.81164,-0.11719,-0.69445,0,-0.69445,-0.08370,0.00000,-1.02657,0,-1,-0.20531,153.88000,158.79100,163.11054,154.47146,0.05441,-0.06846,-4.91100,-0.20950,0.16587,153.88000,88030000
1984-05-23,151.23000,153.14999,29.96403,0,1,-16.03899,20.03597,0,0.00000,1.00000,0.99641,8.79107,0.00000,153.88000,154.02000,153.10001,153.14999,82690000,-1.06222,-0.30620,-0.75603,0,-0.75603,-0.06158,0.00000,-1.17160,0,-1,-0.23432,153.14999,158.51600,163.48753,153.54447,0.06273,-0.03967,-5.36601,-0.27500,0.15294,153.14999,82690000
1984-05-24,151.62000,151.23000,25.49526,0,2,-14.95061,24.50474,0,0.00000,2.00000,0.99391,9.94992,0.00000,153.14999,153.14999,150.80000,151.23000,99040000,-1.39961,-0.52488,-0.87473,0,-0.87473,-0.11870,0.00000,-1.31177,0,-1,-0.26235,151.23000,158.06250,163.88265,152.24235,0.07364,-0.08697,-6.83250,-0.45350,0.17405,151.23000,99040000
1984-05-25,150.28999,151.62000,27.84910,0,3,-9.86702,22.15090,0,0.00000,3.00000,0.99184,10.28737,0.00000,151.23000,152.02000,150.85001,151.62000,78190000,-1.61688,-0.74328,-0.87360,0,-0.87360,0.00113,0.00000,-1.31250,1,-1,-0.26250,151.62000,157.64900,164.03832,151.25968,0.08106,0.02820,-6.02900,-0.41350,0.10067,151.62000,78190000
1984-05-29,150.35001,150.28999,24.95374,0,4,-9.43985,25.04626,0,0.00000,4.00000,0.98946,10.11590,0.00000,151.62000,151.86000,149.95000,150.28999,69060000,-1.87478,-0.96958,-0.90520,0,-0.90520,-0.03160,0.00000,-1.32045,0,-1,-0.26409,150.28999,157.16100,164.20009,150.12190,0.08958,0.01194,-6.87101,-0.48800,0.10512,150.28999,69060000
1984-05-30,150.55000,150.35001,25.33098,0,5,-6.60964,24.66902,0,0.00000,5.00000,0.98856,9.62484,0.00000,150.28999,151.42999,148.67999,150.35001,105660000,-2.05068,-1.18580,-0.86488,0,-0.86488,0.04032,0.00000,-1.23904,1,0,-0.24781,150.35001,156.59450,163.90606,149.28294,0.09338,0.07297,-6.24449,-0.56650,0.04246,150.35001,105660000
1984-05-31,153.24001,150.55000,26.65416,0,6,-3.30988,23.34584,0,0.00000,6.00000,0.98824,8.55845,0.00000,150.35001,150.69000,149.75999,150.55000,81890000,-2.14917,-1.37848,-0.77070,0,-0.77070,0.09418,0.00000,-1.08695,1,0,-0.21739,150.55000,156.02700,163.36513,148.68887,0.09406,0.12681,-5.47700,-0.56750,0.00729,150.55000,81890000
1984-06-01,154.34000,153.24001,41.63523,0,0,16.13997,8.36477,0,0.00000,6.00000,0.93370,8.01863,0.00000,150.55000,153.24001,150.55000,153.24001,96040000,-1.98726,-1.50023,-0.48703,0,-0.48703,0.28367,0.00000,-0.58765,0,0,-0.11753,153.24001,155.62900,162.65865,148.59935,0.09034,0.33008,-2.38900,-0.39800,-0.03959,153.24001,96040000
1984-06-04,153.64999,154.34000,46.45175,0,0,18.60265,3.54825,0,0.00000,6.00000,0.86999,8.29276,0.00000,153.24001,155.10001,153.24001,154.34000,96740000,-1.75001,-1.55019,-0.19982,0,-0.19982,0.28721,0.00000,-0.13313,0,0,-0.02663,154.34000,155.39050,162.25325,148.52775,0.08833,0.42346,-1.05050,-0.23850,-0.02224,154.34000,96740000
1984-06-05,155.00999,153.64999,43.99890,0,0,19.04516,6.00110,0,0.00000,6.00000,0.80428,8.09185,0.00000,154.34000,154.34000,153.28000,153.64999,84840000,-1.59923,-1.56000,-0.03924,0,-0.03924,0.16059,0.00000,0.27554,1,0,0.05511,153.64999,155.09950,161.73546,148.46354,0.08557,0.39078,-1.44951,-0.29100,-0.03123,153.64999,84840000
1984-06-06,154.92000,155.00999,49.64308,0,0,24.31211,0.35692,0,0.00000,6.00000,0.76399,8.53657,0.00000,153.64999,155.03000,153.38000,155.00999,83440000,-1.35439,-1.51888,0.16449,1,0.16449,0.20372,0.16449,0.69630,0,0,0.13926,155.00999,154.82400,160.97686,148.67114,0.07948,0.51511,0.18599,-0.27550,-0.07115,155.00999,83440000
1984-06-07,155.17000,154.92000,49.28907,0,0,22.63491,0.71093,0,0.00000,6.00000,0.79575,9.28497,0.00000,155.00999,155.11000,154.36000,154.92000,82120000,-1.15430,-1.44596,0.29166,0,0.29166,0.12717,0.00000,0.99488,1,0,0.19898,154.92000,154.56450,160.22151,148.90749,0.07320,0.53142,0.35550,-0.25950,-0.07904,154.92000,82120000
1984-06-08,153.06000,155.17000,50.34832,0,0,8.71310,0.34832,0,0.00000,6.00000,0.86259,10.10690,0.00000,154.92000,155.39999,154.57001,155.17000,67840000,-0.96444,-1.34966,0.38522,0,0.38522,0.09356,0.00000,1.02282,0,0,0.20456,155.17000,154.32300,159.41543,149.23057,0.06600,0.58316,0.84700,-0.24150,-0.09839,155.17000,67840000
1984-06-11,152.19000,153.06000,42.31460,0,0,-4.13715,7.68540,0,0.00000,6.00000,0.90512,10.21420,0.00000,155.17000,155.17000,153.00000,153.06000,69050000,-0.97301,-1.27433,0.30131,0,0.30131,-0.08391,0.00000,0.77700,0,0,0.15540,153.06000,154.05150,158.79326,149.30974,0.06156,0.39545,-0.99150,-0.27150,-0.06722,153.06000,69050000
1984-06-12,152.13000,152.19000,39.51490,0,0,-4.48400,10.48510,0,0.00000,6.00000,0.93699,10.13457,0.00000,153.06000,153.07001,151.61000,152.19000,84660000,-1.03805,-1.22707,0.18902,0,0.18902,-0.11229,0.00000,0.56119,0,0,0.11224,152.19000,153.78600,158.31556,149.25644,0.05891,0.32382,-1.59600,-0.26550,-0.04310,152.19000,84660000
1984-06-13,150.39000,152.13000,39.32168,0,0,-10.32140,10.67832,0,0.00000,5.00000,0.96567,9.91338,0.00000,152.19000,152.85001,151.86000,152.13000,67510000,-1.08196,-1.19805,0.11609,0,0.11609,-0.07293,0.00000,0.27243,0,0,0.05449,152.13000,153.49250,157.63608,149.34892,0.05399,0.33559,-1.36249,-0.29350,-0.08346,152.13000,67510000
1984-06-14,149.03000,150.39000,34.11209,0,0,-15.17698,15.88791,0,0.00000,4.00000,0.94938,9.32340,0.00000,152.12000,152.14000,150.31000,150.39000,79120000,-1.24283,-1.20700,-0.03583,-1,-0.03583,-0.15192,0.03583,-0.08853,0,0,-0.01771,150.39000,153.11250,156.91661,149.30839,0.04969,0.14216,-2.72250,-0.38000,-0.07965,150.39000,79120000
1984-06-15,151.73000,149.03000,30.68964,0,0,-19.65868,19.31036,0,0.00000,3.00000,0.94038,9.09792,0.00000,150.49001,150.71001,149.02000,149.03000,85460000,-1.46320,-1.25824,-0.20496,0,-0.20496,-0.16913,0.00000,-0.49876,0,0,-0.09975,149.03000,152.73550,156.58845,148.88255,0.05045,0.01913,-3.70550,-0.37700,0.01534,149.03000,85460000
1984-06-18,152.61000,151.73000,42.93118,0,0,0.61658,7.06882,0,0.00000,2.00000,0.92019,8.20686,0.00000,149.03000,151.92000,148.53000,151.73000,94900000,-1.40379,-1.28735,-0.11644,0,-0.11644,0.08852,0.00000,-0.43078,0,0,-0.08616,151.73000,152.53300,156.14265,148.92335,0.04733,0.38877,-0.80300,-0.20250,-0.06190,151.73000,94900000
1984-06-19,154.84000,152.61000,46.26254,0,0,6.74764,3.73746,0,0.00000,1.00000,0.91157,7.13412,0.00000,151.73000,153.00000,151.73000,152.61000,98000000,-1.27105,-1.28409,0.01304,1,0.01304,0.12948,0.01304,-0.23300,0,0,-0.04660,152.61000,152.42700,155.89405,148.95994,0.04549,0.52639,0.18300,-0.10600,-0.03884,152.61000,98000000
