Date,Close,RSI,RSI_DwellTime_Over70,RSI_DwellTime_Under30,RSI_Slope_5,RSI_DistanceTo50,RSI_Divergence,RSI_OverboughtCount_14,RSI_OversoldCount_14,RSI_Close_Corr_14,RSI_Volatility_14,RSI_ExtremeCount_14
2012-03-30,1408.469970703125,62.81632982013824,0,0,0.2931243839474931,12.816329820138243,0,3.0,0.0,0.26700045910738324,4.313785082863757,0.0
2012-04-02,1419.0400390625,66.8010305933602,0,0,-2.622211697053558,16.801030593360196,0,3.0,0.0,0.30438765403461604,4.237344453544818,0.0
2012-04-03,1413.3800048828125,62.91316759314208,0,0,-3.78994680495191,12.913167593142077,0,3.0,0.0,0.3125800200716581,4.313261632056054,0.0
2012-04-04,1398.9599609375,54.25029189345502,0,0,-7.867523483156475,4.250291893455021,0,2.0,0.0,0.47189721920513633,5.144217686870593,0.0
2012-04-05,1398.0799560546875,53.76375774460606,0,0,-6.8999672011788675,3.7637577446060604,0,1.0,0.0,0.5949607187669513,5.605763594763209,0.0
2012-04-09,1382.199951171875,45.78422675642236,0,0,-17.03210306371588,4.215773243577637,0,0.0,0.0,0.7763255000508769,6.758596894690568,0.0
2012-04-10,1358.5899658203125,36.99320297593022,0,0,-29.80782761742998,13.006797024069783,0,0.0,0.0,0.9123850670670296,9.076131780289533,0.0
2012-04-11,1368.7099609375,42.12298557181765,0,0,-20.790182021324426,7.877014428182349,0,0.0,0.0,0.94960271052857,9.829058739960875,0.0
2012-04-12,1387.5699462890625,50.25191987660261,0,0,-3.9983720168524144,0.2519198766026065,0,0.0,0.0,0.9655401282031851,9.978326601296894,0.0
2012-04-13,1370.260009765625,44.1261294351075,0,0,-9.63762830949856,5.873870564892499,0,0.0,0.0,0.9805830573805991,10.389102597749204,0.0
2012-04-16,1369.5699462890625,43.89640000679498,0,0,-1.8878267496273864,6.103599993205023,0,0.0,0.0,0.9820649205316931,10.014181031373042,0.0
2012-04-17,1390.780029296875,52.14347537700035,0,0,15.150272401070133,2.1434753770003496,0,0.0,0.0,0.9836317752433239,9.301820613708815,0.0
2012-04-18,1385.1400146484375,50.037155182614754,0,0,7.914169610797103,0.03715518261475381,0,0.0,0.0,0.9850831852886998,8.919463086359842,0.0
2012-04-19,1376.9200439453125,47.0538718329686,0,0,-3.198048043634003,2.9461281670313966,0,0.0,0.0,0.9861603957326435,8.627415160681812,0.0
2012-04-20,1378.530029296875,47.71144618044384,0,0,3.5853167453363426,2.2885538195561566,0,0.0,0.0,0.9864782906346433,7.943330781883249,0.0
2012-04-23,1366.93994140625,43.52101106594839,0,0,-0.3753889408465838,6.478988934051607,0,0.0,0.0,0.9812194613801757,6.409682733793768,0.0
2012-04-24,1371.969970703125,45.74801331084025,0,0,-6.3954620661601,4.25198668915975,0,0.0,0.0,0.9692033478490852,4.819951492599475,0.0
2012-04-25,1390.68994140625,53.1516834981496,0,0,3.114528315534848,3.151683498149602,0,0.0,0.0,0.9646246606743426,4.699523969476972,0.0
2012-04-26,1399.97998046875,56.33624443275684,0,0,9.28237259978824,6.336244432756843,0,0.0,0.0,0.9719093799184415,5.028220270296519,0.0
2012-04-27,1403.3599853515625,57.46902396790619,0,0,9.757577787462345,7.469023967906189,0,0.0,0.0,0.9888987626158736,5.721643571855178,0.0
2012-04-30,1397.9100341796875,54.99170755746185,0,0,11.470696491513458,4.991707557461851,0,0.0,0.0,0.992545450597345,5.06780948920892,0.0
2012-05-01,1405.8199462890625,57.83280482428773,0,0,12.084791513447477,7.832804824287727,0,0.0,0.0,0.996187081205709,5.123279926047716,0.0
2012-05-02,1402.31005859375,56.139374314915706,0,0,2.9876908167661043,6.139374314915706,0,0.0,0.0,0.9970266689017331,5.354972228706883,0.0
2012-05-03,1391.5699462890625,51.19905153017085,0,0,-5.137192902585994,1.1990515301708484,0,0.0,0.0,0.9937564948952456,5.006782789600254,0.0
2012-05-04,1369.0999755859375,42.72732662656962,0,0,-14.741697341336568,7.272673373430379,0,0.0,0.0,0.9917111184518933,5.146323434945595,0.0
2012-05-07,1369.5799560546875,42.94450329288691,0,0,-12.047204264574944,7.055496707113093,0,0.0,0.0,0.9915502400841303,5.57845798364913,0.0
2012-05-08,1363.719970703125,40.90511029856166,0,0,-16.927694525726068,9.09488970143834,0,0.0,0.0,0.9926312308886011,6.141047413011257,0.0
2012-05-09,1354.5799560546875,37.88324206747423,0,0,-18.256132247441478,12.116757932525772,0,0.0,0.0,0.99428788129843,6.902723164061404,0.0
2012-05-10,1357.989990234375,39.67384833462223,0,0,-11.52520319554862,10.326151665377772,0,0.0,0.0,0.9949229399110076,7.354020121270872,0.0
2012-05-11,1353.3900146484375,38.0792151898052,0,0,-4.648111436764424,11.920784810194803,0,0.0,0.0,0.9955654557809094,7.775365896483905,0.0
2012-05-14,1338.3499755859375,33.358182960831584,0,0,-9.586320332055323,16.641817039168416,0,0.0,0.0,0.9956920109644578,8.72543657556941,0.0
2012-05-15,1330.6600341796875,31.22646130452317,0,0,-9.67864899403849,18.77353869547683,0,0.0,0.0,0.9956101529972871,9.531529442323187,0.0
2012-05-16,1324.800048828125,29.670457900453528,0,1,-8.2127841670207,20.329542099546472,0,0.0,1.0,0.995244478637822,9.91408155054348,0.0
2012-05-17,1304.8599853515625,25.08915956010929,0,2,-14.584688774512937,24.91084043989071,0,0.0,2.0,0.9928303522464537,10.266770055018574,0.0
2012-05-18,1295.219970703125,23.2223248686621,0,3,-14.856890321143098,26.7776751313379,0,0.0,3.0,0.9909030385119457,10.573951799899492,0.0
2012-05-21,1315.989990234375,34.52628522829826,0,0,1.1681022674666792,15.473714771701736,0,0.0,3.0,0.9717421447602222,9.170206932569359,0.0
2012-05-22,1316.6300048828125,34.84461968191138,0,0,3.6181583773882124,15.155380318088618,0,0.0,3.0,0.9453705260332694,7.470157119740719,0.0
