Date,Close+1,Close_Direction,Volume,RSI,MACD,Signal_Line,RSI_Overbought,RSI_Oversold,RSI_Overbought_Streak,RSI_Oversold_Streak,RSI_CrossOver_70,RSI_CrossUnder_30,RSI_Slope,MACD_BullishCrossover,MACD_BearishCrossover,MACD_Bullish_Streak,MACD_Bearish_Streak,MACD_ZeroLine_Crossover,MACD_Slope,BB_UpperBreak,BB_LowerBreak,BB_UpperBreak_Streak,BB_LowerBreak_Streak,BB_Squeeze
1987-09-22,321.19000,1,209500000,49.21420,-2.33674,-1.52500,0,0,0,0,0,0,13.57265,0,0,0,19,0,0.36512,0,0,0,0,0
1987-09-23,319.72000,0,220300000,51.30037,-1.88924,-1.59785,0,0,0,0,0,0,2.08617,0,0,0,20,0,0.44751,0,0,0,0,0
1987-09-24,320.16000,1,162200000,49.39954,-1.63436,-1.60515,0,0,0,0,0,0,-1.90084,0,0,0,21,0,0.25488,0,0,0,0,0
1987-09-25,323.20001,1,138000000,49.99677,-1.38095,-1.56031,0,0,0,0,0,0,0.59723,1,0,1,0,0,0.25341,0,0,0,0,0
1987-09-28,321.69000,0,188100000,54.03355,-0.92416,-1.43308,0,0,0,0,0,0,4.03678,0,0,2,0,0,0.45679,0,0,0,0,0
1987-09-29,321.82999,1,173500000,51.79674,-0.67620,-1.28170,0,0,0,0,0,0,-2.23681,0,0,3,0,0,0.24796,0,0,0,0,0
1987-09-30,327.32999,1,183100000,51.99514,-0.46306,-1.11797,0,0,0,0,0,0,0.19840,0,0,4,0,0,0.21314,0,0,0,0,0
1987-10-01,328.07001,1,193200000,59.11527,0.14796,-0.86479,0,0,0,0,0,0,7.12013,0,0,5,0,1,0.61102,1,0,1,0,0
1987-10-02,328.07999,1,189100000,59.97546,0.68402,-0.55503,0,0,0,0,0,0,0.86019,0,0,6,0,0,0.53606,0,0,0,0,0
1987-10-05,319.22000,0,159700000,59.98768,1.09701,-0.22462,0,0,0,0,0,0,0.01223,0,0,7,0,0,0.41299,0,0,0,0,0
1987-10-06,318.54001,0,175600000,46.42824,0.70130,-0.03943,0,0,0,0,0,0,-13.55944,0,0,8,0,0,-0.39571,0,0,0,0,0
1987-10-07,314.16000,0,186300000,45.57675,0.32904,0.03426,0,0,0,0,0,0,-0.85149,0,0,9,0,0,-0.37227,0,0,0,0,0
1987-10-08,311.07001,0,198700000,40.43292,-0.31578,-0.03575,0,0,0,0,0,0,-5.14383,0,1,0,1,0,-0.64481,0,0,0,0,0
1987-10-09,309.39001,0,158300000,37.23977,-1.06387,-0.24137,0,0,0,0,0,0,-3.19315,0,0,0,2,0,-0.74809,0,0,0,0,0
1987-10-12,314.51999,1,141900000,35.59391,-1.77188,-0.54747,0,0,0,0,0,0,-1.64586,0,0,0,3,0,-0.70801,0,0,0,0,0
1987-10-13,305.23001,0,172900000,43.76674,-1.89716,-0.81741,0,0,0,0,0,0,8.17282,0,0,0,4,0,-0.12528,0,0,0,0,0
